id,name,is_default,capacity,gross_weight,max_road_weight,tractor_height,tractor_length,trailer_length,trailer_vdc_location,hauler_type,is_active,created_by,created_at,updated_by,updated_at,is_deleted,min_load,max_load,min_split_load,max_dealers,overhang,head_ramp,top_trailer_ramp,bottom_trailer_ramp
63,Test_70_capacity,FALSE,7,24000,4300,3540,8500,4950,12900 LONG BEACH,Test_70,TRUE,local.dev,2025-09-15 15:10.2,local.dev,2025-09-15 31:39.4,FALSE,2,7,4,2,1,5,9,1
72,Dummy,FALSE,9,878779,4000,9,4000,4000,16000 MIRA LOMA,Dummy,TRUE,srikanth.a,2025-09-15 47:24.6,srikanth.a,2025-09-15 52:45.2,TRUE,7,9,1,4,1,5,9,1
88,test_10,FALSE,10,36000,4600,46500,2400,5666,165000 LONG BEACH,test_10,TRUE,joan.dann,2025-09-15 46:24.7,joan.dann,2025-09-15 46:32.2,TRUE,2,9,3,1,1,5,9,1
47,Blacks 75 Trailer,TRUE,9,36505,4277,2540,9652,5637,14732 LONG BEACH,Black 75 Tr,TRUE,muskan.ch,2025-09-15 11:38.5,muskan.ch,2025-09-15 50:31.3,TRUE,2,9,7,3,1,5,9,1
66,Test,FALSE,10,36502,4276,2540,9652,5637,14732 ORILLIA,Test,TRUE,Muskan Ra,2025-09-15 23:25.4,joan.dann,2025-09-15 28:11.0,FALSE,2,10,8,2,1,5,9,1
61,a,FALSE,1,1,1,1,1,1,1 LONG BEACH,a,TRUE,Srikanth Al,2025-09-15 50:59.0,Srikanth Al,2025-09-15 52:18.2,TRUE,1,1,,2,1,5,9,1
60,vbb,FALSE,8,567,67,56,542,78,765 LONG BEACH,felt,TRUE,Ravi Sushi,2025-09-15 33:46.2,Ravi Sushi,2025-09-15 34:30.9,TRUE,8,8,,2,1,5,9,1
64,10 car hauler,TRUE,10,56500,6267,4540,9652,6637,20000 BENICIA,10 car hauler,TRUE,Ravi Sushi,2025-09-15 06:10.7,joan.dann,2025-09-15 28:11.0,FALSE,2,10,7,2,1,5,10,1
91,Cap 7_with,FALSE,7,36000,4600,46500,2400,5666,165000 BENICIA,Test,TRUE,srikanth.a,2025-09-15 15:18.1,srikanth.a,2025-09-15 28:48.9,TRUE,2,7,3,3,1,5,9,1
48,Red 80 Trailer,TRUE,9,36002,4420,2540,10364,5638,15674 BENICIA,Red 80 Tra,TRUE,Muskan Ra,2025-09-15 11:38.5,local.dev,2025-09-15 44:20.5,TRUE,2,9,7,2,1,5,9,1
68,Test,TRUE,11,46502,4276,2540,9652,5637,20000 PORTLAND,Test,TRUE,muskan.cl,2025-09-15 37:09.6,local.dev,2025-09-15 41:16.0,FALSE,2,11,8,3,1,5,11,1
75,Test_9,TRUE,9,36000,4600,46500,2400,5666,165000 LONG BEACH,Test_9,TRUE,muskan.cl,2025-09-15 51:04.5,Srikanth A,2025-09-15 29:04.8,FALSE,2,9,3,1,1,5,9,1
50,Red 80 Trailer,FALSE,9,36001,4267,2540,9652,5637,14732 PORTLAND,Red 80 Tra,TRUE,Vijay Anna,2025-09-15 11:38.5,local.dev,2025-09-15 38:06.9,TRUE,7,9,,2,1,5,9,1
59,xyz,FALSE,8,70000,160,70,240,250,700 LONG BEACH,lawaw,TRUE,Ravi Sushi,2025-09-15 30:16.4,Ravi Sushi,2025-09-15 35:09.6,TRUE,,,,2,1,5,9,1
62,Hauler1,FALSE,9,35000,1400,1400,1400,1400,1400 MIRA LOMA,Hauler1,TRUE,Srikanth Al,2025-09-15 37:12.2,Srikanth Al,2025-09-15 37:21.6,TRUE,2,9,,2,1,5,9,1
51,Red 80 Trailer,FALSE,9,36000,4267,2540,9652,5637,14732 ORILLIA,Red 80 Tra,TRUE,Vijay Anna,2025-09-15 11:38.5,Srikanth Al,2025-09-15 24:46.8,TRUE,,,,2,1,5,9,1
58,9 car hauler 2019 Freightliner,FALSE,9,34000,4267.2,2640,9754,5283,13106 MIRA LOMA,9 car hauler,TRUE,Vijay Anna,2025-09-15 11:38.5,Vijay Anna,2025-09-15 16:01.7,TRUE,,,,2,1,5,9,1
54,9 car hauler 2019 Freightliner,FALSE,9,34000,4267.2,2640,9754,5283,13106 MIRA LOMA,9 car hauler,TRUE,Vijay Anna,2025-09-15 11:38.5,Vijay Anna,2025-09-15 16:04.3,TRUE,,,,2,1,5,9,1
49,Red 80 Trailer,TRUE,9,32000,4267,2540,9652,5638,14732 MIRA LOMA,9 car hauler,TRUE,Vijay Anna,2025-09-15 11:38.5,local.dev,2025-09-15 50:04.5,TRUE,2,9,7,2,1,5,9,1
56,9 car hauler 2019 Freightliner,TRUE,9,35500,4267,2640,10364,5638,13106 OMESA,9 car hauler,TRUE,Vijay Anna,2025-09-15 11:38.5,Srikanth.a,2025-09-15 20:24.9,FALSE,7,9,7,2,1,5,9,1
53,9 car hauler 2019 Freightliner,TRUE,9,40250,4271,3090,9800,5460,14920 OMESA,Test_8,TRUE,Muskan Ra,2025-09-15 11:38.5,local.dev,2025-09-15 18:09.3,FALSE,2,9,7,2,1,4,8,1
67,Test_8_capacity,TRUE,8,32502,4160,2540,9152,5237,13632 OMESA,Test_8,TRUE,Muskan Ra,2025-09-15 23:08.3,muskan.cl,2025-09-15 01:44.2,FALSE,4,8,6,2,1,5,10,1
65,Test,FALSE,10,36502,4276,2540,9652,5637,14732 MIRA LOMA,Test,TRUE,Muskan Ra,2025-09-15 22:22.1,muskan.cl,2025-09-15 29:15.9,TRUE,2,10,8,2,1,5,9,1
52,Red 80 Trailer,TRUE,9,36500,4420,2540,10364,5638,15674 OMESA,Red 80 Tra,TRUE,Vijay Anna,2025-09-15 11:38.5,muskan.cl,2025-09-15 10:10.0,FALSE,7,9,7,2,1,5,9,1
57,9 car hauler 2019 Freightliner,TRUE,9,34000,4267.2,2640,9754,5283,13106 OMESA,9 car hauler,TRUE,Joan Dann,2025-09-15 28:04.9,Joan Dann,2025-09-15 18:06.6,TRUE,2,9,3,2,1,5,9,1
73,red 80 trailer,FALSE,9,36002,4420,2520,10364,5638,15674 BENICIA,red 80 trail,TRUE,joan.dann,2025-09-15 50:19.7,local.dev,2025-09-15 50:19.7,FALSE,,,,2,1,5,9,1
55,9 car hauler 2019 Freightliner,TRUE,9,36000,6267,4500,10200,10200,15000 BENICIA,9 car hauler,TRUE,Vijay Anna,2025-09-15 11:38.5,vijay.harlin,2025-09-15 55:38.4,FALSE,7,9,2,1,1,4,7,1
