load_id,vin,model_id,model_name,brand,series,weight_kg,length_m,width_m,height_m,destination_dealer_id,weight_lb
244606,4T1BLA6060000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_LA_01,4491
244606,4T1BLA6060001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_LA_05,5185
244606,4T1BLA6060002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_LA_01,3016
244606,4T1BLA6060003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_LA_05,10214
244606,4T1BLA6060004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_LA_01,3318
244606,4T1BLA6060005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_LA_05,3393
244606,4T1BLA6060006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_LA_01,7716
244606,4T1BLA6060007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_LA_05,5483
245516,4T1BSF5160000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_SF_01,4491
245516,4T1BSF5160001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_SF_02,5185
245516,4T1BSF5160002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_SF_01,3016
245516,4T1BSF5160003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_SF_02,10214
245516,4T1BSF5160004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_SF_01,3318
245516,4T1BSF5160005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_SF_02,3393
245516,4T1BSF5160006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_SF_01,7716
245516,4T1BSF5160007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_SF_02,5483
245724,4T1BSF7240000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_SF_02,4491
245724,4T1BSF7240001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_SF_04,5185
245724,4T1BSF7240002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_SF_02,3016
245724,4T1BSF7240003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_SF_04,10214
245724,4T1BSF7240004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_SF_02,3318
245724,4T1BSF7240005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_SF_04,3393
245724,4T1BSF7240006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_SF_02,7716
245724,4T1BSF7240007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_SF_04,5483
244861,4T1BML8610000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_ML_01,4491
244861,4T1BML8610001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_ML_02,5185
244861,4T1BML8610002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_ML_01,3016
244861,4T1BML8610003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_ML_02,10214
244861,4T1BML8610004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_ML_01,3318
244861,4T1BML8610005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_ML_02,3393
244861,4T1BML8610006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_ML_01,7716
244861,4T1BML8610007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_ML_02,5483
245060,4T1BSK0600000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_SK_01,4491
245060,4T1BSK0600001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_SK_02,5185
245060,4T1BSK0600002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_SK_01,3016
245060,4T1BSK0600003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_SK_02,10214
245060,4T1BSK0600004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_SK_01,3318
245060,4T1BSK0600005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_SK_02,3393
245060,4T1BSK0600006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_SK_01,7716
245060,4T1BSK0600007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_SK_02,5483
245100,4T1B040161000000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_OM_01,4491
245100,4T1B040161000001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_OM_02,5185
245100,4T1B040161000002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_OM_01,3016
245100,4T1B040161000003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_OM_02,10214
245100,4T1B040161000004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_OM_01,3318
245100,4T1B040161000005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_OM_02,3393
245100,4T1B040161000006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_OM_01,7716
245100,4T1B040161000007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_OM_02,5483
233376,4T1BLA3760000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_LA_01,4491
233376,4T1BLA3760001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_LA_02,5185
233376,4T1BLA3760002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_LA_01,3016
233376,4T1BLA3760003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_LA_02,10214
