id,load_num,origin_legal_entity,load_status,load_creation_source,tmw_movement_id,load_created_by_name,load_created_date,load_updated_by,load_updated_date,assigned_hauler_name,assigned_hauler_id,is_active,driver,carrier
244606,L-44166,LA,locked,loadoptimizer,,Dispatcher_01,2025-09-15 03:30.6,System,2025-09-15 39:08.2,10-Car Multi-Deck Carrier,64.0,True,,
245516,M-44250,SF,sent,Manual load,2041094.0,Dispatcher_01,2025-09-15 05:34.1,Dispatcher_01,2025-09-15 05:39.3,10-Car Multi-Deck Carrier,64.0,True,,
245724,M-44253,SF,sent,Manual load,2038596.0,Dispatcher_01,2025-09-15 43:35.8,Dispatcher_01,2025-09-15 47:22.8,10-Car Multi-Deck Carrier,64.0,True,BE14,UNKNOWN
244861,L-44167,ML,unlocked,loadoptimizer,,Dispatcher_01,2025-09-15 07:03.4,Dispatcher_01,2025-09-15 07:23.5,8-Car Dedicated Auto-Hauler,75.0,True,,
245060,L-44168,SK,unlocked,loadoptimizer,,Dispatcher_01,2025-09-15 09:07.0,Dispatcher_01,2025-09-15 09:27.1,10-Car Multi-Deck Carrier,64.0,True,,
245100,M-44169,04016,unlocked,Manual load,,Dispatcher_01,2025-09-15 11:50.5,Dispatcher_01,2025-09-15 11:52.6,10-Car Multi-Deck Carrier,64.0,True,,
233376,L-43833,LA,sent,loadoptimizer,2034740.0,Dispatcher_02,2025-09-15 50:37.4,Dispatcher_01,2025-09-15 40:29.0,8-Car Dedicated Auto-Hauler,75.0,True,UNKNOWN,UNKNOWN
227494,M-43383,LA,sent,Manual load,2041077.0,Dispatcher_02,2025-09-15 12:01.6,Dispatcher_01,2025-09-15 08:47.5,10-Car Multi-Deck Carrier,64.0,True,UNKNOWN,5004
188099,L-15504,LA,sent,loadoptimizer,2030975.0,Dispatcher_03,2025-09-15 12:16.5,Dispatcher_01,2025-09-15 12:16.5,8-Car Dedicated Auto-Hauler,75.0,True,,
243600,L-43579,LA,unlocked,Manual load,,Dispatcher_01,2025-09-15 42:39.2,Dispatcher_01,2025-09-15 03:49.9,10-Car Multi-Deck Carrier,64.0,True,,
227478,M-43375,LA,sent,Manual load,2041074.0,Dispatcher_02,2025-09-15 11:12.8,Dispatcher_01,2025-09-15 46:04.9,8-Car Dedicated Auto-Hauler,75.0,True,LB746,UNKNOWN
245726,M-44254,SF,sent,Manual load,2037731.0,Dispatcher_01,2025-09-15 44:17.2,Dispatcher_01,2025-09-15 49:09.7,8-Car Dedicated Auto-Hauler,75.0,True,BE25,UNKNOWN
245356,L-44226,PT,locked,loadoptimizer,,Dispatcher_02,2025-09-15 17:37.8,Dispatcher_02,2025-09-15 18:34.6,10-Car Multi-Deck Carrier,64.0,True,,
245357,L-44227,PT,locked,loadoptimizer,,Dispatcher_02,2025-09-15 17:37.8,Dispatcher_02,2025-09-15 18:34.6,10-Car Multi-Deck Carrier,64.0,True,,
245358,L-44228,PT,locked,loadoptimizer,,Dispatcher_02,2025-09-15 17:37.8,Dispatcher_02,2025-09-15 18:34.6,8-Car Dedicated Auto-Hauler,75.0,True,,
245359,L-44229,PT,locked,loadoptimizer,,Dispatcher_02,2025-09-15 17:37.8,Dispatcher_02,2025-09-15 18:34.6,8-Car Dedicated Auto-Hauler,75.0,True,,
245360,L-44230,PT,locked,loadoptimizer,,Dispatcher_02,2025-09-15 17:37.8,Dispatcher_02,2025-09-15 18:34.6,10-Car Multi-Deck Carrier,64.0,True,,
230299,M-43581,04016,unlocked,Manual load,,Dispatcher_04,2025-09-15 50:27.0,Dispatcher_04,2025-09-15 50:43.9,10-Car Multi-Deck Carrier,64.0,True,,
245350,L-44220,PT,locked,loadoptimizer,,Dispatcher_02,2025-09-15 17:37.8,Dispatcher_02,2025-09-15 18:34.6,8-Car Dedicated Auto-Hauler,75.0,True,,
245351,L-44221,PT,locked,loadoptimizer,,Dispatcher_02,2025-09-15 17:37.8,Dispatcher_02,2025-09-15 18:34.6,10-Car Multi-Deck Carrier,64.0,True,,
245352,L-44222,PT,locked,loadoptimizer,,Dispatcher_02,2025-09-15 17:37.8,Dispatcher_02,2025-09-15 18:34.6,8-Car Dedicated Auto-Hauler,75.0,True,,
245353,L-44223,PT,locked,loadoptimizer,,Dispatcher_02,2025-09-15 17:37.8,Dispatcher_02,2025-09-15 18:34.6,10-Car Multi-Deck Carrier,64.0,True,,
245354,L-44224,PT,locked,loadoptimizer,,Dispatcher_02,2025-09-15 17:37.8,Dispatcher_02,2025-09-15 18:34.6,8-Car Dedicated Auto-Hauler,75.0,True,,
245355,L-44225,PT,locked,loadoptimizer,,Dispatcher_02,2025-09-15 17:37.8,Dispatcher_02,2025-09-15 18:34.6,10-Car Multi-Deck Carrier,64.0,True,,
188377,L-8415,ML,sent,loadoptimizer,2031946.0,loadoptimizer,2025-09-15 42:38.4,Dispatcher_01,2025-09-15 42:38.4,8-Car Dedicated Auto-Hauler,75.0,True,,
188384,M-17213,ML,sent,Manual load,2031251.0,Dispatcher_03,2025-09-15 32:54.8,Dispatcher_01,2025-09-15 32:54.8,8-Car Dedicated Auto-Hauler,75.0,True,,
228409,L-43484,LA,sent,loadoptimizer,2030990.0,Dispatcher_02,2025-09-15 46:29.1,Dispatcher_01,2025-09-15 48:38.6,8-Car Dedicated Auto-Hauler,75.0,True,LB746,UNKNOWN
228698,M-43488,LA,sent,Manual load,2041091.0,Dispatcher_02,2025-09-15 56:37.1,Dispatcher_01,2025-09-15 17:52.1,10-Car Multi-Deck Carrier,64.0,True,LB764,UNKNOWN
