id,vts_id,transaction_id,model_number,model_year,description,series,brand,tier,length,width,height,weight,overhang,payload,createddatetime,updateddatetime
8,2763b1fc-001,,2882,2024,bZ4X AWD BZ,bZ4X,Toyota,03,4.69,1.86,1.6,2037,0.9144,,2025-09-15 17:42,2025-10-11 06:00
9,8cb1f0fd-002,,7270,2026,TACOMA 4 TACOMA,TACOMA,Toyota,04,2.0,2.0,1.0,2352,1.0,,2025-09-15 23:00,2025-10-11 22:59
10,088ad8d2-003,,1780,2026,COROLLA COROLLA,COROLLA,Toyota,01,4.63,1.78,1.455,1368,0.8128,,2025-09-15 17:15,2025-10-11 02:03
12,ae1545d1-004,,9383,2026,TX FSPORT TX 350,TX,Lexus,03,5.16,1.99,1.78,4633,1.2192,,2025-09-15 17:36,2025-10-11 14:47
11,0ab915ce-005,,2387,2026,GR SUPRA SUPRA,SUPRA,Toyota,01,6.0,2.0,7.0,1505,0.8128,,2025-09-15 17:15,2025-10-11 02:10
1,5d1f2b6f-006,,6390,2026,COROLLA COROLLA,COROLLA,Toyota,01,5.0,1.825,1.61,1539,0.8128,,2025-09-15 17:15,2025-10-11 05:11
2344,dummy-007,,,2026,DUMMY M NULL,DUMMY,Toyota,01,4.5,1.8,1.5,3500,0.85,,2025-09-15 17:15,2025-10-11 36:48
7,8b9ecc524-008,,8034,2026,TUNDRA 4 TUNDRA 4,TUNDRA,Toyota,05,5.2,2.031,2.041,2487,7.0,,2025-09-15 17:15,2025-10-11 10:20
13,2f3ce4c2-009,,2870,2023,bZ4X FWD BZ,bZ4X,Toyota,03,4.69,1.86,1.6,1948,0.9144,,2025-10-11 06:00,2025-10-11 06:00
14,2cd1a76c-010,,2611,2026,CAMRY XL CAMRY HY,CAMRY,Toyota,01,4.915,1.84,1.445,3469,0.8128,,2025-09-15 17:15,2025-09-15 17:15
15,027353ac-011,,9013,2024,ES 250 AWD 4-DOOR,ES 250,Lexus,01,4.975,1.865,1.445,1644,0.8128,,2025-09-15 17:42,2025-09-15 17:42
16,0cb82295-012,,7598,2024,TACOMA TRD PRO 4X,TACOMA,Toyota,04,5.441,1.98,1.912,2352,1.3716,,2025-09-15 17:41,2025-09-15 17:41
17,dfb24b3c-013,,5196,2026,SIENNA FV SIENNA,SIENNA,Toyota,03,5.175,1.995,1.77,2094,1.2192,,2025-09-15 17:15,2025-09-18 20:00
18,92d40cdf-014,,8021,2026,TUNDRA 4 TUNDRA 4,TUNDRA,Toyota,05,6.412,2.031,1.926,2455,1.3716,,2025-09-15 17:15,2025-11-18 20:00
19,df68e6d4-015,,5421,2026,SIENNA FV SIENNA,SIENNA,Toyota,03,5.175,1.995,1.77,2081,1.2192,,2025-09-15 17:15,2025-09-23 10:00
20,38e66c2e-016,,7262,2026,TACOMA S TACOMA S,TACOMA,Toyota,04,5.3,1.95,1.85,2014,1.2,,2025-09-16 00:00,2025-09-23 22:00
21,503e8771-017,,4366,2026,RAV4 HYBI RAV4 HV,RAV4,Toyota,02,4.6,1.85,1.68,1748,0.85,,2025-09-15 17:15,2025-10-17 19:00
22,b22e0c4a-018,,8668,2026,4RUNNER 4RUNNER,4RUNNER,Toyota,03,4.952,1.98,1.8,2233,1.2192,,2025-09-15 17:15,2025-11-05 22:00
23,bce2ba60-019,,6281,2026,GR COROL GR COROI,COROLLA,Toyota,01,4.407,1.852,1.453,1469,0.8128,,2025-09-15 17:15,2025-10-09 04:00
24,8401fb05-020,,2870,2024,bZ4X FWD BZ,bZ4X,Toyota,03,4.69,1.86,1.6,1948,0.9144,,2025-09-15 17:42,2025-10-11 06:00
25,bccc9b04-021,,6756,2026,GRAND HIG GRAND HI,HIGHLANDER,Toyota,03,5.115,1.99,1.78,4508,1.2192,,2025-09-15 17:15,2025-09-15 17:15
26,e535c540-022,,6766,2026,GRAND HIG GRAND HI,HIGHLANDER,Toyota,03,5.115,1.99,1.78,4837,1.2192,,2025-09-15 17:15,2025-09-15 17:15
27,59669ba3-023,,9172,2024,LS 500h 4-DOOR SED,LS 500,Lexus,02,5.235,1.9,1.46,2321,0.8128,,2025-09-15 17:15,2025-09-15 17:17
28,5c4bd4bd-024,,8050,2026,TUNDRA H TUNDRA H,TUNDRA,Toyota,05,5.932,2.031,1.966,2689,1.3716,,2025-09-15 17:42,2025-09-15 17:42
29,85b29d7b-025,,6181,2026,LAND CRU LAND CRU,LAND CRUISER,Toyota,03,4.92,1.98,1.86,2450,1.2192,,2025-09-15 17:15,2025-10-01 06:00
30,c9f0661b-026,,5422,2026,SIENNA FV SIENNA,SIENNA,Toyota,03,5.175,1.995,1.77,2058,1.2192,,2025-09-15 17:15,2025-09-23 10:00
31,d6262f5c-027,,1216,2026,PRIUS NIG PRIUS,PRIUS,Toyota,01,4.6,1.78,1.42,1421,0.8128,,2025-09-15 17:15,2025-09-26 12:00
32,cb4cb3a8-028,,9262,2026,LC 500 2-D LC CONVE,LC 500,Lexus,01,4.76,1.92,1.35,2009,0.8128,,2025-09-15 17:15,2025-10-01 06:00
